AC	OrganismId	PubMedId	LocClass
---------------------------------------------------------
D4GYG7	309800	18310347  	DS2 / DS70
D4GYG5	309800	20149102  	DS2 / DS70
D4GYH0	309800	23086206  	H53
O27726	187420	19740749
P60848	2286	14651642
B0R9X2	478009	18930051  	ATCC 29341 / DSM 671 / R1
Q58835	243232	11114929
O27106	187420	12562787
Q8U1S5	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q8U3V3	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WX2	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q8U1S6	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WX0	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q8U1S7	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WW9	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q8U1S9	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WX4	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q8U1T0	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WX3	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q8U1T1	186497	19945378  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q97WX1	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q97WX5	273057	22227115  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
O26325	187420	NO_REFERENCE	ATCC 29096 / DSM 1053 / JCM 10044 / NBRC 100330 / Delta H
P25062	309800	1569073
Q4J6M6	330779	10095793
Q4J6M5	330779	10095793
Q6F4N1	69014	15136574  	ATCC BAA-918 / JCM 12380 / KOD1
Q9UWY6	273057	15356000  	ATCC 35092 / DSM 1617 / JCM 11322 / P2
Q56304	2265	8135516   	DSM 5473
P97224	2283	15306018
P97207	2283	15306018
A1RVM8	384616	11823469  	DSM 4184 / JCM 9189
Q46AU8	269797	16075199
A9A677	444158	21765428  	C6 / ATCC BAA-1332
Q6LZR9	267377	11934494  	S2 / LL
Q8NKW5	2188	10633127
Q48327	309800	8858586
Q9V2S6	523841	10721730
P0C882	79929	8408023   	DSM 2133 / 14651 / NBRC 100331 / OCM 82 / Marburg
O29786	224325	17288560
Q9HKS9	273075	16788058  	ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165
P83716	245739	12811620
P84623	572546	15009189
P84621	572546	15009189
P84628	572546	15009189
P84622	572546	15009189
Q8PYZ8	192952	17605473
E7FI44	186497	7704275   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q8U2E5	186497	7704275   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q8U2E5	186497	8389482   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
E7FHU4	186497	7704275   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q8U2E4	186497	7704275   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q8U2E4	186497	8389482   	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
E7FHC4	186497	10714990  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
E7FHN9	186497	10714990  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
E7FHF8	186497	10714990  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
E7FHW8	186497	10714990  	ATCC 43587 / DSM 3638 / JCM 8422 / Vc1
Q9HJ89	273075	15358558
Q7LYW7	2265	9457875   	DSM 5473
Q7LYW7	2265	11453995
