AC	ID	Organism	OrganismId	#Localizations_exp	#Localizations_nonExp	Localization
--------------------------------------------------------------------------------
Q60317	AAT1_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q58097	AAT2_METJA 	Methanocaldococcus jannaschii           	243232	0	1	Cytoplasm (By similarity).
Q9V0L2	AAT_PYRAB  	Pyrococcus abyssi                       	272844	0	1	Cytoplasm (By similarity).
O58489	AAT_PYRHO  	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (By similarity).
Q4J8X2	AAT_SULAC  	Sulfolobus acidocaldarius               	330779	0	1	Cytoplasm (By similarity).
P14909	AAT_SULSO  	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
Q972A2	AAT_SULTO  	Sulfolobus tokodaii                     	273063	0	1	Cytoplasm (By similarity).
O93744	AAT_THEKO  	Thermococcus kodakaraensis              	69014	0	1	Cytoplasm (By similarity).
Q8TK19	ACKA_METAC 	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (By similarity).
Q46BI1	ACKA_METBF 	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (By similarity).
P0CW05	ACKA_METMA 	Methanosarcina mazei                    	192952	0	1	Cytoplasm (By similarity).
P0CW04	ACKA_METMZ 	Methanosarcina mazei                    	2209	0	1	Cytoplasm (By similarity).
P38502	ACKA_METTE 	Methanosarcina thermophila.             	2210	0	1	Cytoplasm (By similarity).
Q6LX42	AGCS_METMP 	Methanococcus maripaludis               	267377	0	1	Cell membrane; Multi-pass membrane protein (Potential).
D4GYH4	AGLB_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Multi-pass membrane protein (Potential).
D4GUA0	AGLD_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Multi-pass membrane protein (Potential).
D4GYG7	AGLE_HALVD 	Haloferax volcanii                      	309800	1	0	Cell membrane.
D4GYH3	AGLG_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Single-pass membrane protein (Potential).
D4GYH2	AGLI_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Single-pass membrane protein (Potential).
D4GYG3	AGLJ_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Multi-pass membrane protein (Potential).
D4GYG5	AGLP_HALVD 	Haloferax volcanii                      	309800	1	0	Cytoplasm.
D4GYG8	AGLR_HALVD 	Haloferax volcanii                      	309800	0	1	Cell membrane; Multi-pass membrane protein (Potential).
D4GYH0	AGLS_HALVD 	Haloferax volcanii                      	309800	1	0	Cell membrane; Multi-pass membrane protein.
D0KQM8	AGLU_SULS9 	Sulfolobus solfataricus                 	555311	1	0	Cytoplasm.
P0CD66	AGLU_SULSO 	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (By similarity).
O27726	AIPS_METTH 	Methanothermobacter thermautotrophicus  	187420	0	1	Membrane; Multi-pass membrane protein (Probable).
O57734	ALAXL_PYRHO	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Probable).
Q8TPA0	ALAXM_METAC	Methanosarcina acetivorans              	188937	0	1	Cytoplasm (Probable).
Q46AR9	ALAXM_METBF	Methanosarcina barkeri                  	269797	0	1	Cytoplasm (Probable).
Q8Q0A4	ALAXM_METMA	Methanosarcina mazei                    	192952	0	1	Cytoplasm (Probable).
O57848	ALAXM_PYRHO	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Probable).
Q97ZX2	ALAXM_SULSO	Sulfolobus solfataricus                 	273057	0	1	Cytoplasm (Probable).
O58307	ALAXS_PYRHO	Pyrococcus horikoshii                   	70601	0	1	Cytoplasm (Probable).
Q9YAW1	ALBA1_AERPE	Aeropyrum pernix                        	272557	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
O29195	ALBA1_ARCFU	Archaeoglobus fulgidus                  	224325	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q8TXF9	ALBA1_METKA	Methanopyrus kandleri                   	190192	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
P60848	ALBA1_SULSH	Sulfolobus shibatae.                    	2286	2	0	Cytoplasm. Chromosome.
P60849	ALBA1_SULSO	Sulfolobus solfataricus                 	273057	0	2	Cytoplasm (Probable). Chromosome (Probable).
Q971T8	ALBA1_SULTO	Sulfolobus tokodaii                     	273063	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q9YAX2	ALBA2_AERPE	Aeropyrum pernix                        	272557	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
O28323	ALBA2_ARCFU	Archaeoglobus fulgidus                  	224325	0	2	Cytoplasm (Probable). Chromosome (Probable).
Q8TWE6	ALBA2_METKA	Methanopyrus kandleri                   	190192	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
P74762	ALBA2_SULSH	Sulfolobus shibatae.                    	2286	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
Q97ZF4	ALBA2_SULSO	Sulfolobus solfataricus                 	273057	0	2	Cytoplasm (By similarity). Chromosome (By similarity).
