AC	OrganismId	PubMedId	LocClass
---------------------------------------------------------
O53454	1773	17630785
Q06401	285	1657885   	ATCC 17410
A9KM56	357809	22277537  	ATCC 700394 / DSM 18823 / ISDg
P44569	71421	21933152
P0A4V2	1773	8757831   	ATCC 35801 / TMC 107 / Erdman
Q5SF95	320483	15557651
Q5SF94	403778	15557651
Q5SF96	234826	15557651
Q5SF93	403779	15557651
P46116	588	15616571
P46116	588	17215357
P84887	511	16279953  	ATCC 49677 / NBRC 14479
P84887	511	10515948
P84888	511	16279953  	ATCC 49677 / NBRC 14479
P84888	511	10515948
Q9Z6M6	83558	18790867  	Kajaani 6
Q9Z6M8	83558	18790867  	Kajaani 6
P46133	83333	15919996  	K12 / MG1655 / ATCC 47076
P75747	83333	15919996  	K12 / MG1655 / ATCC 47076
Q7PC63	224308	17190806
P0AE06	83333	15228545  	K12 / MC1061 / ATCC 53338 / DSM 7140
P0AE06	83333	16079137  	BL21-DE3
P31224	83333	15228545  	K12 / MC1061 / ATCC 53338 / DSM 7140
P31224	83333	16079137  	BL21-DE3
G3KIM8	28446	12603323  	ATCC 25522 / DSM 1682 / NCIB 10656 / VPI 5303
P24177	83333	15919996  	K12 / MG1655 / ATCC 47076
P24181	83333	11274125
P24181	83333	15919996  	K12 / MG1655 / ATCC 47076
P0AAW9	83333	19121005  	K12 / MG1655 / ATCC 47076
P0AAW9	83333	21778229  	K12 / MG1655 / ATCC 47076
P0A5B7	1773	1563797   	ATCC 35801 / TMC 107 / Erdman
P32705	83333	16079137  	BL21-DE3
A0QWG5	246196	12851411
P50466	83333	22380631  	K12 / MG1655 / ATCC 47076
P23872	83333	9576853
Q9ZN78	1911	2502536
P72058	1773	16595677  	ATCC 25618 / H37Rv
P39180	83333	22466966  	K12 / MG1655 / ATCC 47076
P85974	182262	18071641  	YKW-34
G0L322	63186	15456406  	DSM 12802 / CIP 106680 / NCIMB 13871 / Dsij
Q9RGX8	63186	15456406  	DSM 12802 / CIP 106680 / NCIMB 13871 / Dsij
D7GXG5	63186	15456406  	DSM 12802 / CIP 106680 / NCIMB 13871 / Dsij
Q1D823	246197	17289998
P0C1P7	1280	12122003
B3PC73	498211	12169619
Q8ZNF4	99287	16803591  	ATCC 14028 / SGSG 2980 / CDC 6516-60 / NCTC 12023
P64550	83333	21531828  	K12
Q8GED9	1971	11248691
Q9HY69	208964	16797016  	FRD1
Q06062	208964	12003941  	FRD1
Q51392	208964	8636017   	FRD1
Q51392	208964	12003941  	FRD1
Q51393	208964	12003941  	FRD1
A1YYW7	28214	18641147  	BSAR-1
P36548	83333	12787347  	K12
P63883	83333	12787347  	K12
P80695	1006551	9043125
B3A0L2	290110	22497806  	NMC-10
B3A0L3	290110	22497806  	NMC-10
Q9ZEU2	489	9150231   	ATCC 43768 / CCUG 18030 / CIP 100113 / NCTC 11858
Q5ZXN6	272624	22158903
Q9X758	573	12419807
